Location,QuadKey,Url,Size,UploadDate
Colombia,32232011,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232011/part-00194-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.1MB,2026-02-23
Colombia,32232012,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232012/part-00124-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,368.0KB,2026-02-23
Colombia,32232013,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232013/part-00036-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.9MB,2026-02-23
Colombia,32232021,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232021/part-00103-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,74.7KB,2026-02-23
Colombia,32232022,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232022/part-00104-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.0KB,2026-02-23
Colombia,32232023,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232023/part-00146-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,336.6KB,2026-02-23
Colombia,32232030,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232030/part-00024-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,4.1MB,2026-02-23
Colombia,32232031,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232031/part-00190-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,15.5MB,2026-02-23
Colombia,32232032,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232032/part-00189-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.4MB,2026-02-23
Colombia,32232033,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232033/part-00158-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,22.9MB,2026-02-23
Colombia,32232100,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232100/part-00064-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,12.9MB,2026-02-23
Colombia,32232101,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232101/part-00146-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.7MB,2026-02-23
Colombia,32232102,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232102/part-00005-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,15.7MB,2026-02-23
Colombia,32232103,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232103/part-00182-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,10.8MB,2026-02-23
Colombia,32232110,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232110/part-00065-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,13.4MB,2026-02-23
Colombia,32232111,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232111/part-00044-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,15.3MB,2026-02-23
Colombia,32232112,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232112/part-00130-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,45.0MB,2026-02-23
Colombia,32232113,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232113/part-00114-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,3.5MB,2026-02-23
Colombia,32232120,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232120/part-00119-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,2.8MB,2026-02-23
Colombia,32232121,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232121/part-00137-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,7.7MB,2026-02-23
Colombia,32232122,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232122/part-00024-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,6.0MB,2026-02-23
Colombia,32232123,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232123/part-00195-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.8MB,2026-02-23
Colombia,32232130,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232130/part-00062-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.8MB,2026-02-23
Colombia,32232131,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232131/part-00003-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,8.3MB,2026-02-23
Colombia,32232132,https://minedbuildings.z5.web.core.windows.net/global-buildings/2026-02-03/global-buildings.geojsonl/RegionName=Colombia/quadkey=032232132/part-00153-4feead82-d499-422b-94cb-c036c212127a.c000.csv.gz,1.5MB,2026-02-23
